lag,full_res,half_pyramid
710,0.000138,0.000010
711,0.000056,0.000011
712,0.000138,0.000013
713,0.000018,0.000010
714,0.000086,0.000001
715,0.000009,0.000020
716,0.000008,0.000003
717,-0.000017,0.000010
718,-0.000013,0.000006
719,-0.000030,0.000012
720,-0.000007,0.000010
721,0.000116,0.000013
722,-0.000061,0.000008
723,0.000039,0.000008
724,0.000121,0.000011
725,0.000042,0.000010
726,0.000052,0.000002
727,0.000051,0.000003
728,0.000273,0.000011
729,0.000020,0.000011
730,0.000146,0.000015
731,0.000055,0.000015
732,0.000012,0.000006
733,-0.000024,0.000009
734,-0.000032,0.000007
735,0.000060,0.000003
736,-0.000016,0.000004
737,0.000007,0.000008
738,0.000005,-0.000000
739,0.000085,0.000015
740,0.000116,0.000001
741,0.000070,0.000011
742,0.000013,0.000008
743,0.000071,0.000005
744,0.000016,0.000009
745,-0.000002,0.000011
746,0.000075,0.000006
747,0.000068,-0.000001
748,0.000054,0.000019
749,0.000094,0.000014
750,0.000031,-0.000001
751,0.000024,-0.000003
752,-0.000052,0.000006
753,0.000036,0.000005
754,0.000004,0.000015
755,0.000058,0.000009
756,0.000044,0.000009
757,0.000031,0.000013
758,0.000089,0.000008
759,0.000104,0.000010
760,0.000004,0.000004
761,0.000057,0.000006
762,0.000057,0.000011
763,0.000024,0.000004
764,0.000045,0.000007
765,0.000183,0.000008
766,0.000024,0.000007
767,0.000081,0.000009
768,-0.000000,0.000008
769,0.000087,0.000012
770,-0.000006,0.000008
771,0.000043,0.000007
772,0.000018,0.000003
773,0.000009,0.000006
774,0.000017,0.000004
775,0.000030,0.000006
776,0.000018,0.000014
777,-0.000015,0.000004
778,-0.000011,0.000011
779,0.000008,0.000003
780,0.000023,0.000014
781,0.000042,0.000009
782,-0.000005,0.000009
783,-0.000014,0.000008
784,0.000000,0.000011
785,-0.000041,0.000012
786,0.000012,0.000016
787,0.000052,0.000009
788,-0.000018,0.000005
789,-0.000011,0.000004
790,0.000096,0.000011
791,0.000001,0.000013
792,-0.000017,0.000003
793,0.000054,0.000017
794,-0.000014,0.000011
