lag,raw,whitened
799,703207.500000,0.000013
800,685519.500000,-0.000044
801,668211.250000,-0.000054
802,651250.937500,-0.000019
803,634574.000000,-0.000033
804,618182.187500,-0.000038
805,602076.000000,0.000008
806,586218.187500,0.000041
807,570601.625000,0.000002
808,555197.875000,-0.000015
809,540003.437500,0.000014
810,525005.625000,0.000024
811,510189.375000,0.000033
812,495578.250000,-0.000009
813,481189.000000,-0.000013
814,467031.937500,0.000052
815,453138.562500,0.000027
816,439509.812500,-0.000030
817,426146.781250,0.000024
818,413052.312500,-0.000017
819,400237.937500,-0.000044
820,387707.187500,-0.000030
821,375483.812500,-0.000028
822,363545.000000,-0.000048
823,351896.875000,-0.000053
824,340523.031250,-0.000031
825,329438.656250,0.000003
826,318616.343750,-0.000008
827,308051.687500,-0.000047
828,297717.750000,-0.000048
829,287623.812500,-0.000044
830,277765.218750,-0.000049
831,268130.937500,-0.000052
832,258745.078125,-0.000066
833,249645.656250,-0.000048
834,240847.843750,-0.000015
835,232356.796875,-0.000003
836,224167.593750,-0.000004
837,216294.453125,-0.000028
838,208732.687500,-0.000014
839,201467.562500,-0.000026
840,194477.718750,-0.000033
841,187738.468750,-0.000029
842,181231.796875,-0.000047
843,174937.125000,-0.000038
844,168835.984375,-0.000025
845,162913.156250,-0.000028
846,157147.203125,-0.000023
847,151543.875000,-0.000020
848,146115.656250,-0.000002
849,140852.906250,-0.000029
850,135769.343750,-0.000034
851,130854.703125,-0.000026
852,126112.015625,-0.000038
853,121540.859375,-0.000041
854,117124.765625,-0.000023
855,112869.937500,-0.000031
856,108737.984375,-0.000024
857,104746.437500,-0.000019
858,100877.968750,-0.000017
859,97112.156250,-0.000023
860,93442.546875,0.000007
861,89883.406250,0.000010
862,86430.406250,-0.000006
863,83105.468750,-0.000009
864,79911.281250,-0.000008
865,76843.109375,-0.000010
866,73885.859375,-0.000013
867,71034.398438,-0.000019
868,68274.281250,-0.000017
869,65623.421875,-0.000009
870,63079.832031,-0.000031
871,60627.742188,-0.000032
872,58271.070312,-0.000037
873,56008.671875,-0.000039
874,53862.617188,-0.000029
875,51822.632812,-0.000013
876,49876.183594,-0.000007
877,48003.234375,-0.000026
878,46217.527344,-0.000040
879,44497.476562,-0.000037
880,42845.179688,-0.000018
881,41264.375000,-0.000033
882,39751.070312,-0.000038
883,38307.917969,-0.000031
884,36921.300781,-0.000022
885,35594.750000,-0.000026
886,34317.804688,-0.000029
887,33086.324219,-0.000019
888,31901.062500,-0.000011
889,30764.224609,-0.000029
890,29659.083984,-0.000042
891,28599.757812,-0.000028
892,27574.000000,-0.000026
893,26586.757812,-0.000034
894,25638.203125,-0.000038
895,24732.097656,-0.000032
896,23854.414062,-0.000024
897,23018.714844,-0.000038
898,22206.183594,-0.000035
899,21427.167969,-0.000015
900,20676.773438,-0.000024
901,19947.195312,-0.000027
902,19251.224609,-0.000036
903,18583.291016,-0.000036
904,17945.683594,-0.000027
905,17339.921875,-0.000026
906,16759.656250,-0.000031
907,16214.253906,-0.000025
908,15686.892578,-0.000033
909,15193.705078,-0.000030
910,14720.402344,-0.000019
911,14265.767578,-0.000024
912,13828.484375,-0.000032
913,13412.596680,-0.000032
914,13004.691406,-0.000022
915,12619.851562,-0.000015
916,12241.136719,-0.000020
917,11863.066406,-0.000027
918,11493.733398,-0.000029
919,11134.101562,-0.000032
920,10771.923828,-0.000028
921,10423.468750,-0.000035
922,10073.670898,-0.000032
923,9736.418945,-0.000023
924,9408.699219,-0.000024
925,9084.709961,-0.000018
926,8779.554688,-0.000026
927,8477.914062,-0.000019
928,8185.022461,-0.000016
929,7903.706055,-0.000022
930,7623.579102,-0.000020
931,7360.749023,-0.000014
932,7098.430176,-0.000015
933,6839.485840,-0.000016
934,6588.294922,-0.000015
935,6347.109375,-0.000019
936,6097.538574,-0.000015
937,5857.386719,-0.000025
938,5614.229492,-0.000035
939,5393.805664,-0.000034
940,5168.370117,-0.000032
941,4947.230469,-0.000018
942,4726.174316,-0.000027
943,4515.011719,-0.000031
944,4302.520508,-0.000019
945,4100.384277,-0.000011
946,3898.849365,-0.000013
947,3709.224365,-0.000016
948,3518.680664,-0.000018
949,3339.858154,-0.000021
950,3161.303955,-0.000019
951,2994.876953,-0.000014
952,2832.959229,-0.000028
953,2687.023438,-0.000022
954,2526.093262,-0.000009
955,2385.699707,-0.000022
956,2247.823975,-0.000030
957,2109.630615,-0.000023
958,1982.192139,-0.000020
959,1859.059937,-0.000035
960,1735.680786,-0.000039
961,1636.533203,-0.000039
962,1516.196411,-0.000027
963,1414.654053,-0.000028
964,1319.069214,-0.000037
